product_key,product_name,category,subcategory,cost,total_orders,total_sales,total_quantity,total_customers,last_sale_date,recency_in_months,product_segment,lifespan,avg_selling_price,avg_order_rev,avg_monthly_rev
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,49,165375,49,49,12/27/2011,157,High-Performer,11,3375,3375,15034
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,45,151875,45,45,12/27/2011,157,High-Performer,11,3375,3375,13806
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,60,202500,60,60,12/21/2011,157,High-Performer,11,3375,3375,18409
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,57,192375,57,57,12/26/2011,157,High-Performer,12,3375,3375,16031
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,58,197200,58,58,12/22/2011,157,High-Performer,12,3400,3400,16433
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,42,142800,42,42,12/28/2011,157,High-Performer,11,3400,3400,12981
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,49,166600,49,49,12/12/2011,157,High-Performer,12,3400,3400,13883
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,36,122400,36,36,12/23/2011,157,High-Performer,11,3400,3400,11127
16,Road-150 Red- 44,Bikes,Road Bikes,2171,281,1005418,281,281,12/28/2011,157,High-Performer,12,3578,3578,83784
17,Road-150 Red- 48,Bikes,Road Bikes,2171,337,1205786,337,337,12/28/2011,157,High-Performer,12,3578,3578,100482
18,Road-150 Red- 52,Bikes,Road Bikes,2171,302,1080556,302,302,12/27/2011,157,High-Performer,12,3578,3578,90046
19,Road-150 Red- 56,Bikes,Road Bikes,2171,295,1055510,295,295,12/27/2011,157,High-Performer,12,3578,3578,87959
20,Road-150 Red- 62,Bikes,Road Bikes,2171,336,1202208,336,336,12/28/2011,157,High-Performer,12,3578,3578,100184
36,Road-650 Black- 44,Bikes,Road Bikes,487,63,47565,63,63,12/26/2012,145,Mid-Range,23,755,755,2068
37,Road-650 Black- 48,Bikes,Road Bikes,487,60,45552,60,60,12/25/2012,145,Mid-Range,21,759.2,759,2169
38,Road-650 Black- 52,Bikes,Road Bikes,487,89,66915,89,89,12/19/2012,145,High-Performer,23,751.9,751,2909
39,Road-650 Black- 58,Bikes,Road Bikes,487,76,57996,76,76,12/18/2012,145,High-Performer,23,763.1,763,2521
40,Road-650 Black- 60,Bikes,Road Bikes,487,76,57156,76,76,12/12/2012,145,High-Performer,22,752.1,752,2598
41,Road-650 Black- 62,Bikes,Road Bikes,487,65,49047,65,65,12/18/2012,145,Mid-Range,24,754.6,754,2043
42,Road-650 Red- 44,Bikes,Road Bikes,487,72,54528,72,72,12/25/2012,145,High-Performer,23,757.3,757,2370
